display_name,split,Valence CCC,Arousal CCC,Dominance CCC,Mean CCC
H CE,Test1,0.6376145528357998,0.6698484509522927,0.5623367819444618,0.6232665952441848
H CE,Test2,0.43601174597294284,0.5070841194054038,0.37627928910928204,0.43979171816254287
H CB,Test1,0.654678404964699,0.6787708952648689,0.5724357965062388,0.6352950322452688
H CB,Test2,0.4495033832845101,0.5149436206160274,0.39075270034489135,0.4517332347484763
P KLD,Test1,0.6709644686230727,0.6748671824280384,0.5756197053877117,0.6404837854796076
P KLD,Test2,0.4688352795190604,0.5120302576113069,0.38321226844695866,0.4546926018591087
ML KLD,Test1,0.6710442333004252,0.6771704429318146,0.5778224276940765,0.6420123679754388
ML KLD,Test2,0.464662648914182,0.5228054257524322,0.39761451020130745,0.4616941949559739
MH KLD,Test1,0.6746423651122067,0.6847375476237771,0.592583311700468,0.6506544081454839
MH KLD,Test2,0.47114115617970215,0.5201611569715217,0.40059008513080907,0.4639641327606776
MH WKLD,Test1,0.6725662584172228,0.6755355334241026,0.5807459262435005,0.6429492393616086
MH WKLD,Test2,0.4693794600138281,0.523533898236136,0.402830286552228,0.46524788160073066
MH +F,Test1,0.6719887418071235,0.6872267442410693,0.5902921010175217,0.6498358623552382
MH +F,Test2,0.4579526804985617,0.5252963430724762,0.4028256371666041,0.46202488691254734
MH +RF,Test1,0.6701213477287024,0.6842308856366256,0.5848339802580436,0.6463954045411239
MH +RF,Test2,0.4654603350103078,0.52309653393832,0.3929809061525877,0.46051259170040515
MH +W,Test1,0.6741577422234409,0.684647419915441,0.5823412075018737,0.6470487898802518
MH +W,Test2,0.46665390059144246,0.5237741631283812,0.39907203458083745,0.4631666994335537
MH +RW,Test1,0.6672316012609554,0.6794186571410155,0.5795238799093971,0.6420580461037894
MH +RW,Test2,0.4616037109687189,0.5180283866425311,0.38963805045692407,0.45642338268939137
