model_label,supervision,display_name,folder_name,split,metric,value,ci_low,ci_high,ci_half_width,n_samples,n_bootstrap
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,Macro-F1,34.81444987226273,34.372595167590056,35.29279968177891,0.4601022570944274,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,UAR,27.87173888471685,27.597808049151183,28.150443487930808,0.27631771938981253,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,Accuracy,55.08361059499632,54.63423065289721,55.530830056604586,0.4482997018536883,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,F1Other,0.0,0.0,0.0,0.0,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,JSD,0.18505106027061996,0.18404386563203898,0.18604472241578332,0.0010004283918721713,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,KLD,0.7611122484430192,0.7560591572185511,0.7661218496371048,0.005031346209276866,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,Valence CCC,0.6719887418071241,0.666440070362661,0.6775412879810986,0.0055506088092188155,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,Activation CCC,0.6872267442410714,0.6817627710885062,0.6926237292623805,0.005430479086937112,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,Dominance CCC,0.5902921010175203,0.5833200577841134,0.5971119780147607,0.006895960115323618,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,Mean CCC,0.6498358623552386,0.6454118473116229,0.6542107677951878,0.004399460241782449,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,Macro-F1,28.572721884959602,28.057260536276246,29.085267399192354,0.5140034314580544,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,UAR,28.519779100104508,28.150760199628934,28.893745883544785,0.37149284195792664,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,Accuracy,54.13948062049,53.68361923691829,54.59323553558312,0.4548081493324141,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,F1Other,1.3351134846461947,0.5498187379630679,2.187924195448135,0.8190527287425337,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,JSD,0.2150600675140235,0.21421507762236747,0.21589885675144033,0.0008418895645364299,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,KLD,0.8050099746754736,0.8009157575541797,0.8091774048285256,0.004130823637172987,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,Valence CCC,0.670121347728701,0.6644669908899358,0.6758967619997089,0.005714885554886584,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,Activation CCC,0.6842308856366277,0.678720595493938,0.6896926808083225,0.005486042657192214,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,Dominance CCC,0.584833980258047,0.5779325974367778,0.5916872843748462,0.006877343469034181,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,Mean CCC,0.6463954045411252,0.6419368660117697,0.6508230617027072,0.0044430978454687575,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,Macro-F1,27.463921228051298,27.12284791059313,31.32384738631464,2.1004997378607557,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,UAR,28.014303616293308,27.71861607678418,28.319690111213635,0.3005370172147276,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,Accuracy,54.99503089487102,54.54559694075962,55.46169468089703,0.45804887006870576,46286,10000
